Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
High-grade Nirvana Epsilon,22,23,16.152.648.457,,,,,,,
HyperCore,320,95.745,16.075.416.603,,,,,,,
Mekubal,22,24,16.013.890.439,,,,,,,
Astrahus Upwell Quantum Core,24,28,16.002.571.265,,,,,,,
Capital Trimark Armor Pump II,16,24,15.938.680.092,,,,,,,
Raven Navy Issue,32,34,15.842.764.751,,,,,,,
Sisters Core Probe Launcher,565,754,15.792.112.690,,,,,,,
Pithum C-Type Medium Shield Booster,217,255,15.772.095.694,,,,,,,
Integrity Response Drones,104,7.425,15.757.230.554,,,,,,,
ORE Expanded Cargohold,39,59,15.741.287.951,,,,,,,
Ahremen's Modified Cap Recharger,2,2,15.732.500.139,,,,,,,
Legion,81,90,15.627.829.808,,,,,,,
Capital Core Temperature Regulator,20,24,15.447.707.036,,,,,,,
Hafnium,141,2.422.400,15.410.750.915,,,,,,,
Sin,14,16,15.399.245.519,,,,,,,
Cerberus,86,93,15.315.741.107,,,,,,,
Dominix,48,51,15.287.478.564,,,,,,,
Cormack's Modified Sensor Booster,2,2,15.275.333.291,,,,,,,
CONCORD 25000mm Steel Plates,21,26,15.183.036.949,,,,,,,
Compressed Gneiss,121,12.061.896,15.142.172.549,,,,,,,
Republic Fleet Commander Insignia I,98,2.491,15.107.364.703,,,,,,,
Imperial Navy Multispectrum Energized Membrane,335,596,15.092.454.725,,,,,,,
High-grade Amulet Epsilon,27,29,15.042.893.299,,,,,,,
Thunderchild EDENCOM Victory SKIN,1,1,15.000.000.512,,,,,,,
Cormack's Modified 500MN Microwarpdrive,1,1,15.000.000.512,,,,,,,
Lif,3,3,15.000.000.000,,,,,,,
Capital Jump Drive Blueprint,8,9,14.975.683.200,,,,,,,
Radical Drone Damage Amplifier Mutaplasmid,24,29,14.966.232.668,,,,,,,
Tempest Fleet Issue,34,38,14.932.073.149,,,,,,,
Core Temperature Regulator Blueprint,15,17,14.901.815.715,,,,,,,
Imperial Navy 1600mm Steel Plates,316,634,14.843.687.608,,,,,,,
Apocalypse Navy Issue,26,27,14.705.445.074,,,,,,,
Tempest,39,40,14.660.164.927,,,,,,,
Mobile Tractor Unit,928,2.005,14.577.381.957,,,,,,,
Silicates,201,7.998.666,14.534.431.509,,,,,,,
Syndicate Damage Control,51,55,14.483.746.242,,,,,,,
Shadow,2,8,14.481.955.498,,,,,,,
Tatara,2,2,14.298.999.808,,,,,,,
Corpum A-Type Medium Armor Repairer,46,50,14.277.909.651,,,,,,,
20th Tier Overseer's Personal Effects,143,428,14.259.703.662,,,,,,,
1M Bounty SCC Encrypted Bond,100,3.321,14.157.866.214,,,,,,,
Capital Core Temperature Regulator Blueprint,9,9,14.151.757.812,,,,,,,
Stormbringer,50,63,14.113.369.173,,,,,,,
Estamel's Modified Torpedo Launcher,1,1,14.111.249.664,,,,,,,
Stratios One Eden SKIN,1,1,14.099.999.744,,,,,,,
Power Circuit,1.044,67.673,14.063.849.373,,,,,,,
Khizriel Empyrean Outlaws SKIN,19,19,14.058.330.288,,,,,,,
Centii A-Type Multispectrum Coating,88,111,14.004.992.049,,,,,,,
Gila Storm Bear SKIN,1,1,14.000.000.000,,,,,,,
Tangled Power Conduit,1.07,148.373,13.969.769.651,,,,,,,
Draclira's Modified Heat Sink,1,1,13.960.000.000,,,,,,,
Large Capacitor Control Circuit II,253,460,13.935.365.325,,,,,,,
Mid-grade Amulet Omega,45,52,13.921.486.620,,,,,,,
CONCORD Capital Armor Repairer,15,16,13.914.436.514,,,,,,,
Amarr Carrier,27,27,13.860.578.977,,,,,,,
Medium Trimark Armor Pump II,333,734,13.848.468.797,,,,,,,
CONCORD Capital Shield Booster,33,37,13.799.019.612,,,,,,,
Capital Corporate Hangar Bay Blueprint,7,9,13.783.974.336,,,,,,,
Crystalline Isogen-10,1.171,307.506,13.759.875.234,,,,,,,
Core X-Type Large Armor Repairer,27,29,13.752.226.955,,,,,,,
S-R Trigger Neurolink Conduit,199,1.052,13.694.114.591,,,,,,,
Caldari Navy Large Shield Extender,372,1.011,13.686.264.896,,,,,,,
Bhaalgorn Malagrin Marshlight SKIN,22,27,13.562.546.300,,,,,,,
Capital Jump Bridge Array,5,164,13.527.547.741,,,,,,,
Draugur All-Stars Casino Clash SKIN,1,1,13.522.000.384,,,,,,,
Setele's Modified Magnetic Field Stabilizer,2,2,13.512.555.520,,,,,,,
Scorpion Navy Issue,23,24,13.509.326.344,,,,,,,
Standup L-Set Equipment Manufacturing Efficiency I,2,2,13.494.000.128,,,,,,,
Occator,98,101,13.336.303.323,,,,,,,
Muninn,68,80,13.325.618.704,,,,,,,
Orca Blueprint,9,12,13.263.082.764,,,,,,,
High-grade Crystal Epsilon,35,37,13.257.732.881,,,,,,,
Capital Jump Bridge Array Blueprint,3,4,13.193.639.424,,,,,,,
Capital Core Defense Field Extender II,20,29,13.139.651.684,,,,,,,
Cormack's Modified Power Diagnostic System,1,1,13.077.703.639,,,,,,,
Brynn's Modified Damage Control,2,2,13.041.499.776,,,,,,,
Agency 'Pyrolancea' DB5 Dose II,670,1.954,13.026.183.310,,,,,,,
Dread Guristas Multispectrum Shield Hardener,67,71,13.011.623.027,,,,,,,
Ark Sanguinary Savant SKIN,13,13,13.004.559.091,,,,,,,
Broadcast Node,124,9.18,12.942.960.153,,,,,,,
Vagabond,97,117,12.931.444.056,,,,,,,
Large Core Defense Field Extender II,111,207,12.828.316.098,,,,,,,
Elite Infomorph Psychology,19,22,12.708.246.000,,,,,,,
Armageddon Navy Issue,18,19,12.704.630.056,,,,,,,
Cormack's Modified Multispectrum Coating,3,3,12.694.000.128,,,,,,,
Federation Navy Uranium Charge S,23,82.546,12.660.310.830,,,,,,,
CreoDron 'Yellowjacket' Drone Tuner D5-10T,2,2,12.650.571.410,,,,,,,
Moros,4,4,12.648.599.962,,,,,,,
High-grade Asklepian Omega,11,12,12.567.745.560,,,,,,,
Typhoon Fleet Issue,20,20,12.541.537.399,,,,,,,
Orthrus,35,35,12.512.399.987,,,,,,,
Medium Ancillary Current Router II,523,891,12.478.200.890,,,,,,,
Federation Navy Magnetic Field Stabilizer,79,129,12.455.631.008,,,,,,,
Mid-grade Nirvana Omega,24,25,12.451.891.733,,,,,,,
Neural Boost - Improved,132,166,12.443.469.534,,,,,,,
Memory Augmentation - Improved,133,168,12.401.311.954,,,,,,,
Unit P-343554's Modified Damage Control,2,2,12.389.999.616,,,,,,,
High-grade Snake Omega,8,8,12.315.454.657,,,,,,,
Skiff,49,56,12.315.080.771,,,,,,,
Pith X-Type Shield Boost Amplifier,88,102,12.275.522.280,,,,,,,
Navy Cap Booster 3200,509,20.739,12.260.877.417,,,,,,,
CONCORD Capital Shield Extender,21,26,12.237.298.827,,,,,,,
Rokh,39,40,12.229.117.287,,,,,,,
Cadmium,137,2.928.831,12.216.098.834,,,,,,,
Dominix Navy Issue,22,22,12.148.363.790,,,,,,,
Zero-Point Field Manipulator,114,43.78,12.147.511.666,,,,,,,
Gistum A-Type Multispectrum Shield Hardener,14,15,12.125.783.154,,,,,,,
Vedmak,139,159,12.109.710.980,,,,,,,
Megathron Navy Issue,20,21,12.095.328.518,,,,,,,
Oxygen Fuel Block,221,1.109.700,12.053.633.506,,,,,,,
Thukker Large Cap Battery,242,360,12.050.341.039,,,,,,,
Men's 'Luxury' T-shirt,2,2,11.994.999.808,,,,,,,
Ocular Filter - Improved,141,174,11.980.470.360,,,,,,,
Evaporite Deposits,199,7.577.660,11.909.442.040,,,,,,,
Porpoise,111,117,11.908.616.869,,,,,,,
Tornado,119,169,11.865.930.325,,,,,,,
Estamel's Modified Large Graviton Smartbomb,2,2,11.835.500.032,,,,,,,
Federation Navy Drone Damage Amplifier,101,178,11.835.104.425,,,,,,,
Retriever,274,336,11.819.031.417,,,,,,,
High-grade Nirvana Delta,22,23,11.791.980.153,,,,,,,
Leshak Triglavian Victory SKIN,1,1,11.750.000.128,,,,,,,
Gistum B-Type Multispectrum Shield Hardener,27,29,11.727.519.802,,,,,,,
Reinforced Carbon Fiber,202,1.908.851,11.651.846.797,,,,,,,
High-grade Asklepian Epsilon,16,16,11.638.904.511,,,,,,,
Kikimora,223,330,11.627.183.595,,,,,,,
Basic 'Radiance' Cerebral Accelerator,1.022,3.703,11.572.763.652,,,,,,,
Sisters Expanded Probe Launcher,383,535,11.508.286.471,,,,,,,
Pashan's Turret Customization Mindlink,1,1,11.500.000.256,,,,,,,
Cybernetic Subprocessor - Improved,129,159,11.453.670.874,,,,,,,
Typhoon,32,33,11.382.266.891,,,,,,,
Women's Kimotoro Eskeitan Commander's Jacket,2,2,11.346.718.560,,,,,,,
Revelation Navy Issue,2,2,11.338.999.808,,,,,,,
Proteus,70,75,11.188.312.327,,,,,,,
Gallente Carrier,18,18,11.147.569.225,,,,,,,
Armageddon,30,30,11.145.507.400,,,,,,,
Covetor,224,304,11.144.165.558,,,,,,,
Syndicate Gas Cloud Scoop,62,102,11.140.158.075,,,,,,,
Gist X-Type Large Shield Booster,34,35,11.132.763.784,,,,,,,
Unit F-435454's Modified Drone Damage Amplifier,2,2,11.121.468.848,,,,,,,
25000mm Steel Plates II,51,81,11.061.393.260,,,,,,,
Contaminated Lorentz Fluid,1.284,129.366,11.057.547.863,,,,,,,
Drake Navy Issue,80,99,11.020.668.647,,,,,,,
Bane,1,1,11.000.000.512,,,,,,,
Shadow Lead Charge S,14,34.551,10.994.127.007,,,,,,,
Revelation Blueprint,5,5,10.990.500.096,,,,,,,
Core X-Type 100MN Afterburner,19,21,10.987.867.616,,,,,,,
Gel-Matrix Biopaste,168,141.102,10.912.496.477,,,,,,,
Metamorphosis,91,111,10.901.633.303,,,,,,,
Women's 'Luxury' T-shirt,1,1,10.899.999.744,,,,,,,
Light Entropic Disintegrator II,245,382,10.866.217.443,,,,,,,
Alligator,38,38,10.864.550.120,,,,,,,
Capital Siege Array Blueprint,6,7,10.803.564.800,,,,,,,
Industrial Jump Portal Generator I,8,8,10.773.970.869,,,,,,,
Golem Raata Sunset SKIN,1,1,10.750.000.128,,,,,,,
Carbon-86 Epoxy Resin,48,244.205,10.719.864.735,,,,,,,
Cataclysmic Electrical Filament,118,287,10.683.635.850,,,,,,,
Apocalypse,31,32,10.671.623.435,,,,,,,
Gnosis,267,390,10.670.140.085,,,,,,,
Nergal,58,65,10.586.397.354,,,,,,,
Mid-grade Crystal Omega,56,61,10.582.237.381,,,,,,,
Excavator' Ice Harvesting Drone,20,47,10.575.155.299,,,,,,,
22nd Tier Overseer's Personal Effects,98,230,10.556.741.082,,,,,,,
Crane,76,78,10.552.216.388,,,,,,,
Hexa 2500mm Repeating Cannon II,20,30,10.548.364.098,,,,,,,
Drake Awakening YC125 SKIN,24,35,10.526.421.862,,,,,,,
Huginn,52,59,10.510.799.758,,,,,,,
Hydrogen Fuel Block,224,1.029.348,10.501.519.328,,,,,,,
Mid-grade Virtue Omega,16,17,10.479.948.743,,,,,,,
Covert Ops Cloaking Device II,1.857,2.685,10.437.526.211,,,,,,,
Tenebrex Cyno Jammer,4,4,10.422.500.032,,,,,,,
Core X-Type 500MN Microwarpdrive,24,25,10.400.201.762,,,,,,,
Quad Mega Pulse Laser II,21,42,10.358.097.831,,,,,,,
Fighter Support Unit II,45,73,10.356.884.244,,,,,,,
Genetic Safeguard Filter Blueprint,3,3,10.349.090.891,,,,,,,
Eos,25,28,10.307.889.624,,,,,,,
High-grade Ascendancy Omega,2,2,10.299.500.032,,,,,,,
High-grade Rapture Omega,2,2,10.266.299.981,,,,,,,
Hecate,147,189,10.259.807.570,,,,,,,
Abaddon,32,33,10.243.428.345,,,,,,,
Magpie' Mobile Tractor Unit,28,28,10.237.063.338,,,,,,,
Caldari Carrier,20,21,10.172.376.081,,,,,,,
Centus X-Type Large Armor Repairer,19,20,10.113.946.596,,,,,,,
Falcon,59,68,10.110.799.157,,,,,,,
Potent 'Radiance' Cerebral Accelerator,347,641,10.104.569.096,,,,,,,
Claymore,26,30,10.080.479.638,,,,,,,
Trigger Unit,374,10.847,10.075.659.729,,,,,,,
Quad 800mm Repeating Cannon II,17,30,10.061.862.133,,,,,,,
High-grade Nirvana Gamma,23,24,10.005.781.636,,,,,,,
Raitaru Blueprint,3,3,10.000.000.000,,,,,,,
Chelm's Modified Power Diagnostic System,1,1,9.998.999.552,,,,,,,
Wetware Mainframe,225,9.207,9.984.567.378,,,,,,,
Standup L-Set Missile Flight Processor I,2,2,9.916.499.904,,,,,,,
Vargur Zakura Shumyu SKIN,1,1,9.869.499.904,,,,,,,
Corpii A-Type Multispectrum Coating,56,64,9.787.910.024,,,,,,,
Triple Neutron Blaster Cannon II,13,25,9.773.962.104,,,,,,,
Leopard,27,35,9.750.845.359,,,,,,,
Zeugma Integrated Analyzer,38,39,9.734.803.990,,,,,,,
Dominix Blueprint,5,5,9.653.428.570,,,,,,,
Bustard,67,69,9.643.878.840,,,,,,,
Mid-grade Asklepian Omega,24,24,9.606.662.199,,,,,,,
Megathron Blueprint,6,7,9.606.611.142,,,,,,,
Sleipnir,33,36,9.603.230.234,,,,,,,
Chaotic Electrical Filament,182,548,9.594.027.407,,,,,,,
Molok Sanguinary Savant SKIN,2,2,9.570.000.384,,,,,,,
Rapier,51,60,9.559.285.451,,,,,,,
Sisters Core Scanner Probe,2.063,41.467,9.535.791.170,,,,,,,
Republic Fleet Warp Disruptor,77,94,9.524.751.302,,,,,,,
Harvester Mining Drone,14,22,9.522.172.632,,,,,,,
Cormack's Modified Tracking Computer,1,1,9.500.000.256,,,,,,,
Avatar Crown and Swords SKIN,1,1,9.498.999.808,,,,,,,
Nergal Niflhel Gildclaw SKIN,1,1,9.450.000.384,,,,,,,
Obelisk Blueprint,5,5,9.446.250.000,,,,,,,
Viator,90,92,9.416.029.596,,,,,,,
Neurolink Protection Cell Blueprint,6,6,9.352.941.176,,,,,,,
Pacifier,38,40,9.330.310.352,,,,,,,
Hydrocarbons,194,10.010.467,9.319.193.320,,,,,,,
Republic Fleet Medium Shield Extender,485,1.131,9.287.781.508,,,,,,,
Multispectrum Shield Hardener II,3.434,7.536,9.273.973.742,,,,,,,
Worm,103,116,9.256.334.993,,,,,,,
Cryoprotectant Solution,188,144.05,9.250.151.275,,,,,,,
Radar-FTL Interlink Communicator Blueprint,5,5,9.218.855.415,,,,,,,
Arazu,63,74,9.189.507.219,,,,,,,
Thulium,87,804.913,9.184.397.423,,,,,,,
Social Adaptation Chip - Improved,100,119,9.164.025.339,,,,,,,
Disruptive Lance Operation,17,18,9.153.499.723,,,,,,,
Scimitar,63,79,9.074.107.719,,,,,,,
