Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Mackinaw,143,198,43.346.285.016,L
Machariel,44,46,42.235.357.023,L
Inquest 'Hedone' Entanglement Optimizer WS-804,1,1,41.999.998.976,L
Nestor,37,39,41.945.365.672,L
Breacher Pod Launcher Operation,52,67,41.930.352.505,L
Ikitursa All-Stars Casino Clash SKIN,1,1,41.879.998.464,L
Fortizar Upwell Quantum Core,9,10,41.814.719.743,L
Nitrogen Isotopes,455,102.378.286,41.363.496.005,L
Thanatos,11,11,40.070.197.030,L
Keepstar Upwell Quantum Core,1,1,40.000.001.355,L
Aeon Blueprint,2,2,40.000.000.000,L
Gotan's Modified 800mm Repeating Cannon,1,1,38.499.999.744,L
High-grade Amulet Omega,23,25,38.454.061.295,L
Bowhead,19,19,38.341.172.212,L
Revelation Navy Issue,9,9,38.037.521.277,L
Machariel Blackbody Drift SKIN,2,3,38.017.146.794,L
Nidhoggur,10,10,38.011.319.166,L
Integrated Moon Drill Armature,14,42,37.874.298.905,L
Rhea,4,4,37.442.955.141,L
Corpum A-Type Multispectrum Energized Membrane,35,42,37.015.230.518,L
Chimera,10,10,36.488.542.261,L
Phoenix Navy Issue,7,7,36.487.889.220,L
Caldari Navy Ballistic Control System,186,370,35.723.514.874,L
Obelisk,16,16,34.711.648.159,L
Tengu,151,173,33.999.152.662,L
Zirnitra,8,8,33.954.097.384,L
Cenotaph,46,49,33.796.886.368,L
Fenrir,16,16,33.596.582.886,L
Advanced Doomsday Operation,52,108,33.443.799.308,L
21st Tier Overseer's Personal Effects,91,456,33.336.669.703,L
Azbel Upwell Quantum Core,11,12,32.994.339.560,L
Mysterious GalNet Crate II,119,242,32.452.151.822,L
Vindicator,26,27,32.353.711.110,L
Athanor Upwell Quantum Core,30,49,32.207.821.852,L
Estamel's Modified Cruise Missile Launcher,2,2,32.140.000.256,L
Loki,152,193,31.510.471.300,L
Logic Circuit,1.169,82.529,31.100.575.520,L
Neodymium,90,676.972,31.041.292.078,L
Medium Core Defense Field Extender II,749,2.106,30.793.771.257,L
Nightmare,31,32,30.505.830.792,L
Archon,7,7,30.298.166.869,L
Minmatar Titan,6,6,30.000.000.000,L
High-grade Crystal Omega,33,34,29.791.589.777,L
Apostle,7,7,29.700.299.827,L
Promethium,95,692.060,29.690.424.917,L
High-grade Nirvana Omega,25,26,29.685.298.168,L
Athanor,26,31,29.569.995.448,L
Daily Alpha Injector,247,459,29.408.088.917,L
Proteus,87,104,29.211.212.946,L
Gotan's Modified Heavy Warp Disruptor,2,2,29.169.999.872,L
Widow,29,29,29.130.258.673,L
Hydrogen Isotopes,337,71.165.709,29.018.576.778,L
Gecko,88,141,28.786.527.397,L
Tritanium,5.398,10.384.035.118,28.661.489.562,L
Zorya's Supratidal Entropic Disintegrator,8,8,28.640.808.975,L
Corpus X-Type Large Armor Repairer,47,54,28.494.733.893,L
Covert Research Tools,487,76.293,28.362.854.951,L
Isolated Dimensional Thread,10,10.032,28.324.781.075,L
Nanite Repair Paste,4.763,1.447.828,28.309.125.332,L
Ikitursa,60,73,27.788.918.552,L
Astero,235,272,27.683.860.983,L
Vepas' Modified Ballistic Control System,1,1,27.579.750.912,L
Sotiyo,1,1,27.495.999.570,L
Coreli A-Type Multispectrum Coating,172,239,27.338.697.915,L
Dysprosium,107,853.842,27.218.785.274,L
Large Vorton Projector II,23,29,27.153.928.463,L
Mercenary Den,20,53,26.665.916.125,L
Hakim's Modified Stasis Webifier,1,1,26.474.999.808,L
Inherent Implants 'Noble' Hull Upgrades HG-1008,6,6,26.331.693.129,L
Retriever Blueprint,9,12,25.971.921.241,L
Minokawa,5,5,25.946.499.797,L
Tatara,3,3,25.867.314.975,L
Cormack's Modified Large Plasma Smartbomb,2,2,25.817.968.960,L
Pithum A-Type Medium Shield Booster,58,64,25.497.349.570,L
Dual Giga Pulse Laser II,40,89,25.481.644.723,L
Enhanced Ward Console,534,11.703,25.159.604.895,L
Large Trimark Armor Pump II,118,233,25.080.301.117,L
Capital Jump Drive Blueprint,6,15,25.036.270.375,L
Orca Lodestrike SKIN,1,1,24.999.999.488,L
Gotan's Modified Gyrostabilizer,2,2,24.979.999.744,L
Robotics,490,585.974,24.690.360.575,L
Republic Fleet Large Cap Battery,691,1.097,24.680.539.925,L
Pithum B-Type Multispectrum Shield Hardener,39,44,24.444.463.519,L
Platinum,142,5.586.852,24.441.970.708,L
Unit W-634's Modified Drone Damage Amplifier,1,1,24.169.599.427,L
Moros Navy Issue,6,6,24.134.916.608,L
Mid-grade Harvest Omega,10,11,24.112.349.621,L
Helium Fuel Block,244,1.494.873,23.807.701.758,L
Strategos' Modified Siege Module,1,1,23.379.609.024,L
Imperial Navy Heat Sink,144,316,23.190.512.987,L
Festive Iron Metallic - Limited,68,106,23.108.160.231,L
Imperial Navy Large EMP Smartbomb,111,231,22.917.801.092,L
Zero-Point Condensate,894,806.050,22.773.888.821,L
Master-at-Arms Cerebral Accelerator,193,651,22.505.484.393,L
Panther,22,22,22.385.798.445,L
Stratios,79,84,22.238.090.361,L
CONCORD Rogue Analysis Beacon,55,219,22.116.324.879,L
Athanor Blueprint,4,4,22.000.001.024,L
18th Tier Overseer's Personal Effects,174,663,21.920.780.828,L
Genetic Lock Preserver Blueprint,5,15,21.847.826.086,L
Neurovisual Input Matrix,169,202.057,21.736.639.132,L
Lif,4,4,21.700.000.256,L
Phoenix,6,6,21.493.176.614,L
Men's "Crisis Breaker" Drifter Plugsuit,12,13,21.466.071.041,L
Pith X-Type Large Shield Booster,72,78,21.422.546.584,L
Capital Ship Maintenance Bay Blueprint,9,12,21.412.745.009,L
Rokh,85,98,21.319.027.193,L
Capital Ships,40,55,21.213.905.570,L
Raven,91,105,21.154.816.964,L
Bhaalgorn,19,19,21.121.101.423,L
Capital Core Temperature Regulator Blueprint,9,12,20.961.733.329,L
Centum A-Type Multispectrum Energized Membrane,25,27,20.959.598.007,L
Mid-grade Virtue Omega,22,24,20.900.946.652,L
Michi's Excavation Augmentor,7,8,20.875.568.933,L
Draclira's Modified Large EMP Smartbomb,1,1,20.826.667.008,L
Standup L-Set Moon Drilling Proficiency I,3,3,20.765.208.415,L
Self-Harmonizing Power Core,184,13.230,20.607.385.575,L
Covetor Blueprint,8,10,20.607.290.735,L
Genetic Structure Repairer Blueprint,5,14,20.550.000.000,L
Deep Void Matte - Limited,33,98,20.410.729.169,L
Nergal All-Stars Casino Clash SKIN,1,1,20.000.000.000,L
Leshak Hadean Horror SKIN,1,1,20.000.000.000,L
Tobias' Modified Ballistic Control System,1,1,19.989.999.616,L
Mizuro's Modified 800mm Repeating Cannon,2,2,19.957.000.192,L
Leshak Netherworld Striker SKIN,1,1,19.900.000.256,L
Satori-Horigu Combat Scanner Probe,21,215,19.866.138.931,L
Federation Navy Stasis Webifier,270,452,19.824.427.955,L
Chromium,137,6.095.135,19.751.500.592,L
ORE Ice Harvester,49,137,19.619.893.594,L
Mobile Tractor Unit,863,2.052,19.525.898.358,L
Orthrus,61,68,19.472.051.381,L
Estamel's Modified Rapid Heavy Missile Launcher,2,2,19.430.332.416,L
Republic Fleet Large Shield Extender,388,1.024,19.349.232.939,L
Unit F-435454's Modified Fighter Support Unit,2,2,19.337.343.552,L
Occator,73,78,19.219.536.255,L
High-grade Nirvana Epsilon,21,22,19.064.959.564,L
Genetic Mutation Inhibitor Blueprint,4,13,19.050.000.000,L
Standup L-Set Reprocessing Monitor I,2,2,18.992.111.161,L
Cormack's Modified 500MN Microwarpdrive,1,1,18.839.999.488,L
Chelm's Modified Heavy Energy Neutralizer,3,3,18.739.000.320,L
Integrity Response Drones,149,11.265,18.605.500.861,L
Nitrogen Fuel Block,222,1.052.696,18.553.358.177,L
CONCORD Victory SKIN,2,2,18.537.452.587,L
Hydrogen Fuel Block,244,1.473.167,18.443.127.037,L
Setele's Modified Damage Control,1,1,18.377.916.519,L
Revelation,6,6,18.330.343.765,L
SoE NET Resonator,84,8.361,18.148.296.242,L
Mid-grade Amulet Omega,58,74,18.021.937.532,L
Wyvern Blueprint,1,1,17.999.998.976,L
Astrahus Upwell Quantum Core,26,30,17.805.521.808,L
B-97 Entangled GQD,3,664,17.762.307.534,L
Zorya's Entropic Radiation Sink,3,3,17.744.659.883,L
Raitaru Upwell Quantum Core,21,24,17.715.815.797,L
Draclira's Modified Tachyon Beam Laser,3,3,17.680.624.640,L
High-grade Asklepian Omega,12,12,17.644.372.349,L
Drekavac,55,63,17.643.993.507,L
Navy Cap Booster 3200,547,29.774,17.641.106.169,L
Rorqual Blueprint,4,5,17.630.400.102,L
Republic Fleet Gyrostabilizer,104,221,17.599.401.133,L
'Ingenii' Ice Harvester Upgrade,5,5,17.587.643.316,L
Hafnium,117,2.797.858,17.581.135.601,L
Standup L-Set Equipment Manufacturing Efficiency I,2,2,17.493.333.160,L
Khizriel,26,29,17.469.205.935,L
25000mm Steel Plates II,66,132,17.407.117.341,L
Large Disintegrator Specialization,66,68,17.165.547.351,L
Zeugma Integrated Analyzer,35,36,17.083.107.902,L
Metenox Moon Drill,23,31,17.037.989.144,L
Chelm's Modified Cap Recharger,1,1,17.018.750.400,L
Retriever,288,362,17.016.635.733,L
Gotan's Modified Dual 425mm AutoCannon,1,1,16.999.999.488,L
HyperCore,369,548.767,16.966.434.826,L
High-grade Ascendancy Omega,4,4,16.882.468.577,L
Centus X-Type Large Armor Repairer,30,31,16.864.213.704,L
CONCORD 25000mm Steel Plates,24,35,16.859.326.391,L
Tempest Fleet Issue,29,31,16.784.839.895,L
B-79 Entangled GQD,5,810,16.565.006.000,L
Basilisk,78,114,16.536.677.367,L
Gara's Modified 50MN Microwarpdrive,1,1,16.535.249.664,L
Raven Navy Issue,31,34,16.521.693.315,L
Setele's Modified Large Plasma Smartbomb,2,2,16.499.999.744,L
F-33 Entangled GQD,7,705,16.482.612.087,L
Ahremen's Modified Multispectrum Energized Membrane,1,1,16.480.000.000,L
Radical Drone Damage Amplifier Mutaplasmid,27,37,16.403.014.377,L
Azbel,3,3,16.401.999.872,L
CONCORD Capital Shield Extender,26,32,16.383.893.411,L
Gotan's Modified Heavy Warp Scrambler,1,1,16.369.999.872,L
Pithum C-Type Medium Shield Booster,235,295,16.254.850.248,L
Selynne's Modified Large EMP Smartbomb,3,3,16.196.000.256,L
Vulture,46,68,16.170.879.415,L
Alligator,29,32,16.062.015.327,L
Black Market 'Valdimar' Drone Sharpshooting DS-805,1,1,15.969.999.872,L
Wrath of Tyrannos Crate,32,33,15.937.786.327,L
Imperial Navy Multispectrum Energized Membrane,291,592,15.806.585.176,L
Hakim's Modified 1400mm Howitzer Artillery,1,1,15.800.000.512,L
Dread Guristas Multispectrum Shield Hardener,54,60,15.733.657.870,L
CONCORD Capital Shield Booster,34,35,15.725.835.683,L
Capital Trimark Armor Pump II,18,27,15.703.172.231,L
Megathron Navy Issue,23,24,15.681.387.144,L
Pacifier,38,40,15.651.675.980,L
Imperial Navy 1600mm Steel Plates,324,773,15.623.398.458,L
Dark Blood Capital Capacitor Booster,2,2,15.589.080.092,L
Sotiyo Upwell Quantum Core,2,2,15.548.749.824,L
Brokara's Modified Large EMP Smartbomb,3,3,15.515.156.160,L
Arazu,60,77,15.509.244.472,L
Chelm's Modified Heat Sink,1,1,15.489.999.872,L
Nija's Modified Warp Disruption Field Generator,1,1,15.440.000.000,L
Oxygen Fuel Block,181,987.368,15.422.324.412,L
Cormack's Modified Magnetic Field Stabilizer,1,1,15.399.999.488,L
Draclira's Modified Heat Sink,1,1,15.377.499.904,L
Capital Industrial Ships,14,14,15.324.440.336,L
Sisters Core Probe Launcher,570,831,15.310.028.280,L
F-16 Entangled GQD,7,593,15.286.129.387,L
Imperial Navy Drone Damage Amplifier,52,97,15.259.556.574,L
Expert Cerebral Accelerator,7,7,15.168.863.776,L
Naglfar,6,6,15.121.019.680,L
CONCORD Capital Armor Repairer,15,16,15.104.316.207,L
Capital Armor Plates Blueprint,11,11,15.084.557.343,L
Republic Fleet Commander Insignia I,86,2.948,15.062.794.469,L
Capital Propulsion Engine Blueprint,6,11,15.027.719.344,L
Porpoise,92,97,15.013.434.165,L
Standup L-Set Advanced Component Manufacturing Efficiency I,2,2,14.992.999.936,L
Zarmazd,29,38,14.989.992.911,L
Core X-Type 100MN Afterburner,18,20,14.909.155.798,L
Caldari Navy Large Shield Extender,331,731,14.878.968.774,L
Capital Core Temperature Regulator,25,33,14.774.266.148,L
Phoenix Blueprint,7,7,14.770.666.788,L
Legion,65,78,14.756.846.238,L
Medium Ancillary Current Router II,521,883,14.685.526.525,L
Breacher Pod Clone Efficacity,47,57,14.671.386.994,L
Capital Jump Bridge Array Blueprint,2,4,14.659.599.358,L
Gistum A-Type Multispectrum Shield Hardener,16,17,14.648.584.571,L
Caldari Carrier,25,28,14.645.134.047,L
Standup L-Set Advanced Medium Ship Manufacturing Efficiency I,2,2,14.622.333.269,L
Gist X-Type Large Shield Booster,42,45,14.616.556.325,L
Standup L-Set Basic Capital Component Manufacturing Efficiency I,2,2,14.589.000.021,L
Compressed Gneiss,117,15.323.895,14.583.740.590,L
Blood Raider Victory SKIN,1,1,14.510.000.128,L
Amarr Carrier,21,26,14.444.585.363,L
Corpum A-Type Medium Armor Repairer,34,37,14.403.073.791,L
Gist X-Type 500MN Microwarpdrive,37,41,14.361.320.202,L
Vepas' Modified Torpedo Launcher,3,3,14.352.740.348,L
Large Capacitor Control Circuit II,264,493,14.343.290.406,L
Typhoon Fleet Issue,29,29,14.324.754.277,L
Shadow,2,8,14.248.437.397,L
Strontium Clathrates,496,5.029.157,14.195.779.186,L
High-grade Crystal Epsilon,39,41,14.095.777.238,L
Unit P-343554's Modified Fighter Support Unit,2,2,14.069.833.387,L
ORE Expanded Cargohold,33,62,14.036.106.330,L
Silicates,189,16.806.209,14.019.721.487,L
Enhanced Neurolink Protection Cell Blueprint,4,4,13.999.999.998,L
Core X-Type Large Armor Repairer,38,42,13.997.745.828,L
Tornado,101,153,13.990.852.679,L
Deluge,56,60,13.929.714.284,L
CV-Composite Molecular Condenser,177,3.241,13.929.481.563,L
Fighter Support Unit II,48,77,13.884.302.535,L
Gistum B-Type Multispectrum Shield Hardener,33,36,13.876.897.151,L
Ahremen's Modified Cap Recharger,2,2,13.799.999.488,L
Tangled Power Conduit,1.220,142.957,13.757.012.488,L
Memory Augmentation - Improved,154,223,13.700.706.498,L
Power Circuit,1.072,76.036,13.672.971.840,L
Falcon,57,72,13.631.736.554,L
Astrahus,14,15,13.619.610.446,L
High-grade Nirvana Delta,22,23,13.603.287.551,L
Medium Trimark Armor Pump II,307,738,13.557.909.788,L
Cerberus,59,73,13.554.751.423,L
High-grade Snake Omega,9,9,13.541.803.692,L
Large Core Defense Field Extender II,95,196,13.518.262.045,L
Sin,14,14,13.490.395.908,L
Crystalline Isogen-10,845,380.394,13.484.811.552,L
Capital Power Generator Blueprint,7,9,13.483.365.577,L
Thon's Modified Torpedo Launcher,2,3,13.480.000.512,L
Kikimora,217,335,13.467.467.543,L
Thukker Large Cap Battery,203,310,13.446.670.450,L
Quad Mega Pulse Laser II,24,42,13.439.066.170,L
Vedmak,116,140,13.414.059.922,L
Multispectrum Shield Hardener II,3.744,8.896,13.333.526.250,L
High-grade Hydra Omega,9,9,13.333.088.142,L
Draclira's Modified Large Armor Repairer,3,3,13.299.999.744,L
Neural Boost - Improved,146,194,13.281.713.555,L
Contaminated Lorentz Fluid,1.340,132.828,13.274.483.324,L
Men's EDENCOM 'Valiant' Command Jacket,1,1,13.249.999.872,L
Vedmak Netherworld Striker SKIN,2,2,13.054.000.128,L
Nergal,64,85,13.001.666.569,L
Avatar Eros Blossom SKIN,1,1,12.999.999.488,L
22nd Tier Overseer's Personal Effects,46,127,12.953.548.953,L
Agency 'Pyrolancea' DB5 Dose II,622,2.649,12.899.521.450,L
Women's Triglavian Survival Suit (Proving Grounds),1,1,12.880.000.000,L
Centii A-Type Multispectrum Coating,80,103,12.868.379.551,L
Harvester Mining Drone,18,26,12.867.961.491,L
Light Entropic Disintegrator II,255,419,12.762.334.279,L
Avalanche Blueprint,5,6,12.752.864.576,L
Dominix Blueprint,6,7,12.701.930.806,L
Ocular Filter - Improved,148,200,12.676.122.382,L
Capital Corporate Hangar Bay Blueprint,8,8,12.670.117.823,L
Hydrocarbons,198,20.431.352,12.653.010.679,L
Curse,53,60,12.652.170.395,L
Pith X-Type Shield Boost Amplifier,82,94,12.617.736.984,L
Torrent,38,42,12.611.438.261,L
Covert Ops Cloaking Device II,1.996,3.127,12.513.930.637,L
Gotan's Modified Tracking Enhancer,1,1,12.495.000.064,L
Veles Supratidal Entropic Disintegrator,71,99,12.491.628.246,L
High-grade Savior Omega,6,6,12.480.203.987,L
High-grade Crystal Delta,47,54,12.474.352.806,L
Core Temperature Regulator Blueprint,14,17,12.468.742.308,L
Women's "Crisis Breaker" Drifter Plugsuit,7,7,12.450.581.474,L
Vizan's Modified Large EMP Smartbomb,1,2,12.367.499.904,L
Datacore - Upwell Starship Engineering,16,5.999,12.366.607.806,L
Scimitar,50,70,12.366.605.137,L
Syndicate Damage Control,51,60,12.343.330.291,L
Procurer Blueprint,6,6,12.280.405.271,L
Standup L-Set Reactor Efficiency I,2,2,12.259.777.707,L
Strategos' Modified Fighter Support Unit,1,1,12.240.000.000,L
Mid-grade Nomad Omega,10,11,12.222.155.903,L
Broadcast Node,148,9.467,12.219.717.785,L
Capital Capacitor Battery Blueprint,8,12,12.208.133.874,L
Coolant,177,1.392.992,12.195.483.504,L
Tobias' Modified Large Proton Smartbomb,1,1,12.169.999.872,L
Typhoon,40,43,12.123.297.431,L
Dominix,53,58,12.109.536.704,L
Guristas Thorium Charge M,8,25.389,12.109.201.064,L
Makra's Modified Small Focused Pulse Laser,3,3,12.056.000.256,L
S-R Trigger Neurolink Conduit,18,187,12.048.676.369,L
Cormack's Modified Power Diagnostic System,1,1,12.030.000.128,L
Charon Blueprint,5,6,12.010.909.090,L
Gistum C-Type Multispectrum Shield Hardener,29,33,12.005.769.792,L
Astrahus Blueprint,2,3,12.000.000.000,L
Inherent Implants 'Squire' Capacitor Management EM-806,20,22,11.966.993.090,L
Zero-Point Field Manipulator,209,213.459,11.956.145.527,L
Armageddon Navy Issue,15,15,11.951.061.426,L
Providence Blueprint,5,7,11.925.999.968,L
Muninn,52,54,11.909.095.363,L
Gel-Matrix Biopaste,172,172.605,11.880.309.697,L
Apocalypse Navy Issue,30,31,11.875.620.774,L
Dual 1000mm Railgun II,11,26,11.863.433.415,L
Moros,4,4,11.857.000.000,L
Revelation Blueprint,6,7,11.849.006.634,L
Capital Construction Parts Blueprint,9,11,11.845.002.529,L
Reinforced Carbon Fiber,185,3.046.839,11.803.110.919,L
Covetor,186,259,11.799.773.699,L
Capital Core Defense Field Extender II,17,24,11.768.579.442,L
Viator,79,84,11.754.415.085,L
Capital Shield Extender II,43,67,11.728.132.568,L
Skiff,43,47,11.668.402.901,L
Apocalypse Blueprint,8,8,11.607.953.754,L
'Excavator' Mining Drone,19,51,11.602.116.309,L
Cybernetic Subprocessor - Improved,139,205,11.584.077.102,L
Magnetometric-FTL Interlink Communicator Blueprint,5,9,11.573.357.110,L
Rapier,42,50,11.568.102.107,L
Evaporite Deposits,193,15.925.094,11.531.883.612,L
Guristas Victory SKIN,1,1,11.500.000.256,L
Inherent Implants 'Highwall' Mining MX-1005,58,107,11.494.748.462,L
Scorpion Navy Issue,28,30,11.491.628.490,L
Noctis,79,84,11.487.832.327,L
Strategos' Modified Heavy Stasis Grappler,1,1,11.429.999.957,L
Mid-grade Virtue Epsilon,25,29,11.426.513.996,L
Magmatic Gas,126,19.627.424,11.378.527.522,L
Ion Siege Blaster II,22,46,11.272.233.565,L
Jump Portal Generator I,5,5,11.249.858.440,L
Mid-grade Nirvana Delta,30,32,11.236.187.677,L
Setele's Modified 100MN Afterburner,2,2,11.234.999.808,L
CONCORD Dual 1000mm Railgun,6,11,11.234.762.942,L
Gnosis,223,304,11.222.154.159,L
Capital Shield Emitter Blueprint,7,7,11.189.752.180,L
Consortium Mobile Tractor Unit,8,9,11.176.707.520,L
Gravimetric-FTL Interlink Communicator Blueprint,3,7,11.117.464.759,L
Agency 'Pyrolancea' DB9 Dose IV,134,244,11.106.706.381,L
Gallente Carrier,18,21,11.084.546.314,L
Megathron,43,53,11.077.083.985,L
High-grade Amulet Epsilon,20,22,11.034.531.202,L
Federation Navy Magnetic Field Stabilizer,84,159,11.001.067.718,L
Nestor One Eden SKIN,1,1,10.990.000.128,L
Rokh Blueprint,6,7,10.990.000.000,L
Inherent Implants 'Noble' Hull Upgrades HG-1006,17,19,10.977.223.289,L
Radar-FTL Interlink Communicator Blueprint,6,8,10.971.131.942,L
Long-limb Roes,121,3.855.874,10.966.903.243,L
Zainou 'Gnome' Shield Management SM-706,13,15,10.951.450.990,L
Orca Blueprint,9,11,10.944.790.159,L
Cynabal Blackbody Drift SKIN,5,5,10.933.276.459,L
Tempest,43,49,10.873.546.747,L
Angel NET Resonator,56,5.564,10.791.414.152,L
High-grade Asklepian Epsilon,15,15,10.786.100.118,L
Electromechanical Microprocessor,10,12.872,10.765.438.146,L
Standup M-Set Asteroid Ore Grading Processor II,5,5,10.758.421.049,L
Rapid Torpedo Launcher II,28,52,10.755.106.101,L
Capital Turret Hardpoint Blueprint,6,7,10.658.997.291,L
Sisters Expanded Probe Launcher,360,570,10.633.176.712,L
Trigger Unit,459,16.285,10.623.341.405,L
Cadmium,127,5.863.724,10.619.782.264,L
High-grade Nirvana Gamma,23,24,10.589.684.106,L
Sisters Core Scanner Probe,2.137,42.871,10.566.564.105,L
Minmatar Carrier,17,19,10.549.338.334,L
Porpoise Blueprint,8,13,10.533.874.482,L
Corpus X-Type Heavy Energy Neutralizer,37,44,10.502.300.387,L
Kasiha's Modified Vorton Tuning System,1,1,10.490.000.384,L
Mid-grade Snake Omega,17,19,10.472.742.473,L
Corpii A-Type Multispectrum Coating,54,65,10.457.479.395,L
Standup L-Set Point Defense Battery Control I,2,2,10.447.288.278,L
Unstable Large Armor Plate Mutaplasmid,26,38,10.447.182.940,L
Estamel's Modified Torpedo Launcher,1,1,10.435.249.920,L
Mid-grade Nirvana Omega,29,33,10.385.263.199,L
Industrial Jump Portal Generator I,7,7,10.354.121.440,L
Mid-grade Crystal Omega,49,58,10.281.641.933,L
Wetware Mainframe,234,11.539,10.268.765.205,L
Gist C-Type X-Large Shield Booster,11,11,10.203.234.566,L
Vagabond,63,72,10.201.673.644,L
Gist B-Type X-Large Shield Booster,11,11,10.185.667.446,L
Apostle Blueprint,6,10,10.163.511.111,L
Sentient Damage Control,26,27,10.158.369.097,L
Atmospheric Gases,201,22.225.322,10.152.206.622,L
Sylramic Fibers,213,55.155.024,10.147.233.297,L
Chaotic Electrical Filament,192,662,10.135.479.253,L
Eleutrium,732,212.975.789,10.133.943.213,L
20th Tier Overseer's Personal Effects,59,155,10.122.076.041,L
Men's Proper Dapper Outfit,1,1,10.099.999.744,L
Hanaruwa's Modified Medium Shield Booster,1,1,10.090.000.384,L
Obelisk Blueprint,4,6,10.084.285.713,L
Cataclysmic Electrical Filament,120,336,10.082.775.374,L
Heavy Entropic Disintegrator II,139,192,10.078.327.656,L
Hexa 2500mm Repeating Cannon II,22,45,10.074.237.474,L
Medium Consortium Vorton Projector,14,14,10.064.554.136,L
Capital Capacitor Booster II,64,78,10.024.778.798,L
Draclira's Modified Cap Recharger,1,1,10.019.999.744,L
