Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Zydrine,2.079,30.200.659,45.295.976.609,
Khizriel,31,34,44.543.812.245,
Mexallon,3.991,909.871.470,43.913.793.890,
Bowhead,17,17,43.804.709.644,
Gist X-Type X-Large Shield Booster,32,33,43.517.058.824,
Praxis,232,255,43.313.079.780,
Pith X-Type X-Large Shield Booster,75,81,42.728.626.275,
Redeemer,28,30,42.348.938.169,
Leshak,75,81,42.211.716.556,
Ishtar,245,317,42.100.246.640,
Thunderchild,27,32,41.308.217.412,
Amarr Loyalty Token,7,4.131,41.203.770.318,
Ahremen's Modified Multispectrum Energized Membrane,2,2,40.099.999.744,
Fenrir,16,16,40.049.807.665,
Megacyte,2.04,15.091.754,39.908.983.961,
Nidhoggur,13,13,39.665.864.012,
Barghest,28,30,39.609.714.630,
Looking Glass Monocle Interface (right/gold),1,1,39.445.000.192,
Vepas' Modified Torpedo Launcher,2,2,37.475.000.320,
Archon,12,13,37.161.303.615,
Fortizar Upwell Quantum Core,10,11,36.337.224.401,
21st Tier Overseer's Personal Effects,197,856,35.707.196.717,
Machariel,41,45,35.581.512.821,
Serpentis Victory SKIN,1,1,35.419.999.232,
Nocxium,2.507,58.155.897,35.327.482.605,
Cormack's Modified Neutron Blaster Cannon,1,1,35.000.000.512,
Rorqual Sovereign Claim SKIN,1,1,35.000.000.512,
Amarr Titan,6,6,34.985.549.967,
Standup L-Set Reprocessing Monitor II,1,1,34.970.001.408,
Thanatos,15,16,34.312.928.943,
Mackinaw,128,156,33.947.005.437,
Caldari Navy Ballistic Control System,202,389,33.192.549.271,
Hulk,141,175,32.886.140.780,
Mysterious GalNet Crate II,63,176,32.604.585.052,
Retribution Malagrin Marshlight SKIN,12,19,32.340.117.361,
Athanor Upwell Quantum Core,34,72,31.895.530.071,
Naglfar,10,10,31.456.986.686,
Draclira's Modified Heat Sink,2,2,31.017.777.375,
Michi's Excavation Augmentor,9,9,30.997.443.944,
Unit P-343554's Modified Damage Control,2,2,30.990.000.128,
Logic Circuit,1.123,70.633,30.622.066.564,
Tengu,147,162,30.568.397.682,
Gallente Titan,5,5,30.000.000.000,
Cormack's Modified Damage Control,1,1,29.999.999.659,
Loki,146,169,29.675.650.653,
Daily Alpha Injector,278,502,29.536.003.834,
Golem Malagrin Marshlight SKIN,9,12,29.321.346.094,
Azbel Upwell Quantum Core,10,11,29.299.498.678,
Corpum A-Type Multispectrum Energized Membrane,34,39,29.116.368.807,
Rorqual,8,8,28.440.472.164,
Astero,212,235,28.289.521.620,
Corpus X-Type Large Armor Repairer,47,57,28.082.249.331,
Pyerite,4.961,4.621.513.205,28.079.302.635,
Minmatar Victory SKIN,2,2,27.485.833.216,
Unit W-634's Modified Damage Control,1,1,27.219.999.403,
Athanor,30,34,27.173.464.225,
Chimera,9,9,27.112.208.268,
Coreli A-Type Multispectrum Coating,163,204,27.095.923.139,
Expert Cerebral Accelerator,14,15,26.831.936.848,
Multiple Pilot Training Certificate,10,10,26.679.814.316,
Covert Research Tools,388,67.57,26.595.062.533,
High-grade Nirvana Omega,19,20,26.277.957.025,
Capital Power Generator Blueprint,4,4,26.230.138.163,
Bhaalgorn,24,24,25.707.888.968,
Miasmos Quafe Ultramarine Edition,1,1,25.699.999.744,
Neodymium,95,670.593,25.560.713.742,
Phoenix,8,8,25.372.609.264,
High-grade Crystal Omega,33,35,25.358.737.832,
Standup L-Set Reactor Efficiency II,1,1,25.303.333.547,
Medium Core Defense Field Extender II,727,1.69,24.986.185.853,
Covetor Blueprint,7,9,24.672.968.217,
Helium Isotopes,429,85.052.303,24.534.809.805,
Republic Fleet Large Cap Battery,709,1.183,24.479.354.749,
Enhanced Ward Console,435,8.924,24.421.880.470,
Tritanium,5.913,8.583.216.759,24.291.079.091,
Athanor Blueprint,4,4,23.833.334.441,
Revelation,5,5,23.572.333.510,
Oxygen Isotopes,303,54.219.039,23.492.109.480,
Platinum,144,4.081.765,23.398.129.293,
Vindicator,18,18,23.129.783.034,
High-grade Amulet Omega,22,22,23.078.547.473,
Draclira's Modified Large EMP Smartbomb,1,1,23.000.000.512,
Unit W-634's Modified Drone Damage Amplifier,1,1,23.000.000.512,
Nanite Repair Paste,4.06,1.334.818,22.972.768.899,
Tatara Upwell Quantum Core,7,7,22.682.411.080,
Pithum A-Type Medium Shield Booster,64,70,22.552.255.870,
Widow,22,22,22.551.201.686,
Tatara,3,3,22.509.172.210,
Promethium,95,773.205,22.491.109.490,
Stratios,66,68,22.360.615.360,
Nitrogen Isotopes,324,60.302.311,22.318.185.161,
Retriever Blueprint,8,9,22.281.877.063,
Revelation Navy Issue,3,3,22.197.666.816,
Zero-Point Condensate,1.017,624.141,22.049.306.420,
Golem State Police SKIN,9,9,21.962.875.312,
Gecko,110,174,21.957.038.598,
Rorqual Blueprint,7,7,21.945.100.178,
Dysprosium,102,736.611,21.832.117.757,
Neurovisual Input Matrix,183,191.398,21.783.385.357,
Unit D-34343's Modified Drone Damage Amplifier,3,3,21.720.000.512,
Mamba,24,25,21.374.277.805,
Ikitursa,41,44,21.011.455.782,
Orthrus,43,43,20.892.751.053,
Vepas' Modified Multispectrum Shield Hardener,1,1,20.750.000.128,
Panther,17,17,20.716.358.205,
Standup L-Set Reprocessing Monitor I,2,2,20.648.719.974,
Core Temperature Regulator Blueprint,22,30,20.609.126.101,
Compressed Glossy Scordite,2,57,20.602.477.631,
Pithum B-Type Multispectrum Shield Hardener,29,33,20.350.100.812,
High-grade Asklepian Omega,12,12,20.261.402.029,
Gallente Victory SKIN,2,2,20.181.595.136,
Azbel,5,5,20.179.074.760,
Ninazu,4,5,20.142.000.128,
Raitaru Upwell Quantum Core,19,24,20.095.798.958,
Ahremen's Modified Mega Pulse Laser,1,1,20.000.000.512,
Republic Fleet Large Shield Extender,357,1,19.945.992.600,
Hakim's Modified Heavy Warp Scrambler,1,1,19.700.000.768,
Draclira's Modified Cap Recharger,1,1,19.669.999.616,
Master-at-Arms Cerebral Accelerator,191,457,19.623.476.082,
Genetic Safeguard Filter Blueprint,7,7,19.499.374.992,
Astrahus,17,18,19.488.275.808,
Imperial Navy Large EMP Smartbomb,118,196,19.443.047.858,
Dominix,53,55,19.386.577.543,
Moros,6,6,19.267.361.299,
Large Trimark Armor Pump II,82,156,19.103.402.238,
Raven,77,87,19.091.661.971,
Stratios Yoiul Festival YC121 SKIN,1,1,19.069.999.104,
Hel Blueprint,1,1,19.000.000.512,
Large Vorton Projector II,19,25,18.848.033.176,
Centum A-Type Multispectrum Energized Membrane,20,22,18.750.182.160,
Vepas' Modified Ballistic Control System,1,1,18.746.250.240,
Khizriel Arkombine Arisen SKIN,7,7,18.612.411.179,
Nightmare,20,20,18.545.497.718,
Aeon Blueprint,1,1,18.499.999.744,
Mizuro's Modified Dual 650mm Repeating Cannon,4,4,18.400.000.000,
Robotics,477,381.09,18.351.297.857,
Pith X-Type Large Shield Booster,76,82,18.316.407.804,
Drekavac,82,95,18.162.382.978,
Wyvern Blueprint,1,1,17.999.998.976,
Enhanced Neurolink Protection Cell,1,1,17.949.387.867,
Capital Core Temperature Regulator Blueprint,10,11,17.846.874.997,
Imperial Navy Heat Sink,125,259,17.765.867.002,
Federation Navy Stasis Webifier,256,413,17.695.669.307,
Republic Fleet Gyrostabilizer,106,220,17.489.626.220,
Thon's Modified Rapid Heavy Missile Launcher,4,4,17.023.499.648,
ORE Ice Harvester,46,99,16.987.623.512,
Chromium,123,2.766.471,16.974.611.008,
Capital Industrial Ships,14,17,16.926.744.290,
Self-Harmonizing Power Core,132,8.024,16.704.744.786,
Capital Siege Array Blueprint,6,8,16.340.061.538,
CV-Composite Molecular Condenser,204,6.148,16.313.304.744,
Chelm's Modified Power Diagnostic System,2,2,16.292.160.143,
Bane Sanguinary Savant SKIN,2,2,16.000.000.000,
Tempest Fleet Issue,33,38,15.981.314.501,
HyperCore,270,64.359,15.979.309.245,
Megathron,45,50,15.762.695.124,
Nitrogen Fuel Block,211,939.646,15.695.696.344,
Mekubal,21,25,15.683.093.268,
Avatar Eros Blossom SKIN,1,1,15.559.999.488,
Helium Fuel Block,207,1.053.768,15.458.094.383,
Tempest,42,44,15.415.873.406,
Neurolink Protection Cell Blueprint,7,11,15.319.846.938,
Sisters Core Probe Launcher,544,682,15.265.654.473,
Apostle,3,3,15.224.999.424,
Republic Fleet Commander Insignia I,110,3.11,15.123.427.580,
Raven Navy Issue,27,29,15.039.221.569,
Chelm's Modified Cap Recharger,1,1,15.009.999.872,
Mizuro's Modified 800mm Repeating Cannon,1,1,15.000.000.512,
Cormack's Modified Magnetic Field Stabilizer,1,1,15.000.000.512,
Tengu Ghostbird SKIN,1,1,15.000.000.512,
Women's Triglavian Survival Suit (Liminality),1,1,15.000.000.512,
Compressed Gneiss,131,13.263.048,14.977.047.208,
Imperial Navy 1600mm Steel Plates,323,676,14.949.173.648,
18th Tier Overseer's Personal Effects,254,967,14.932.425.927,
Gist X-Type 500MN Microwarpdrive,33,35,14.928.186.683,
CONCORD Capital Shield Booster,28,31,14.926.505.170,
Zorya's Entropic Radiation Sink,2,2,14.918.126.531,
Draugur All-Stars Casino Clash SKIN,1,1,14.895.000.064,
Imperial Navy Multispectrum Energized Membrane,302,556,14.758.076.986,
Mizuro's Modified Stasis Webifier,1,1,14.700.000.256,
Imperial Navy Drone Damage Amplifier,66,99,14.694.846.729,
Minokawa,3,3,14.662.240.174,
Skiff,53,58,14.619.455.761,
Cerberus,71,80,14.590.300.646,
Hydrogen Isotopes,258,45.853.536,14.567.295.125,
Hafnium,125,2.252.535,14.538.734.243,
Neurolink Protection Cell,9,11,14.513.969.473,
Capital Jump Drive Blueprint,9,9,14.482.790.587,
Setele's Modified Damage Control,1,1,14.390.000.128,
Silicates,191,8.252.977,14.357.506.930,
Procurer Blueprint,7,9,14.331.431.346,
Mid-grade Amulet Omega,44,49,14.256.527.774,
Setele's Modified 425mm Railgun,1,3,14.251.250.560,
Large Capacitor Control Circuit II,245,431,14.224.120.270,
Unit P-343554's Modified Drone Damage Amplifier,1,1,14.082.407.248,
Integrity Response Drones,96,5.467,14.052.790.546,
Mid-grade Harvest Omega,7,8,13.949.113.756,
High-grade Crystal Epsilon,36,38,13.843.976.615,
1M Bounty SCC Encrypted Bond,92,2.712,13.835.393.992,
20th Tier Overseer's Personal Effects,175,669,13.623.882.507,
High-grade Nirvana Epsilon,18,18,13.598.348.876,
Standup L-Set Basic Medium Ship Manufacturing Efficiency I,2,2,13.594.000.384,
Power Circuit,1.074,64.496,13.549.538.509,
Mobile Tractor Unit,928,1.988,13.545.525.703,
Capital Core Temperature Regulator,16,19,13.518.629.347,
Providence Blueprint,6,6,13.506.821.412,
Setele's Modified 500MN Microwarpdrive,2,2,13.496.999.936,
Pithum C-Type Medium Shield Booster,196,235,13.496.478.575,
High-grade Snake Omega,8,8,13.391.235.686,
Arazu,52,62,13.372.078.290,
High-grade Asklepian Epsilon,15,15,13.361.292.223,
Standup L-Set Basic Capital Component Manufacturing Efficiency I,2,2,13.360.666.880,
Syndicate Damage Control,48,53,13.354.242.765,
Crystalline Isogen-10,943,322.733,13.331.027.348,
Medium Ancillary Current Router II,502,798,13.172.614.217,
Gistum A-Type Multispectrum Shield Hardener,12,14,13.138.832.547,
CONCORD 25000mm Steel Plates,16,22,13.118.097.006,
Armageddon Blueprint,8,8,13.108.606.729,
Capital Corporate Hangar Bay Blueprint,6,8,13.087.814.015,
Capital Trimark Armor Pump II,9,16,13.001.593.253,
Sin,10,10,12.987.534.901,
22nd Tier Overseer's Personal Effects,135,538,12.967.357.614,
Large Core Defense Field Extender II,86,161,12.937.938.592,
Medium Trimark Armor Pump II,303,674,12.875.088.607,
Caldari Navy Large Shield Extender,329,865,12.858.919.387,
Ahremen's Modified Cap Recharger,2,2,12.848.703.426,
Mid-grade Nirvana Omega,27,28,12.813.946.594,
Chelm's Modified Heat Sink,1,1,12.800.000.000,
Moros Navy Issue,2,2,12.788.000.000,
Vizan's Modified Cap Recharger,2,2,12.777.361.062,
Tangled Power Conduit,1.133,146.687,12.751.132.142,
S-R Trigger Neurolink Conduit,170,753,12.636.367.710,
Zero-Point Field Manipulator,129,49.082,12.632.488.039,
Mid-grade Snake Omega,18,18,12.608.657.886,
Estamel's Modified Rapid Heavy Missile Launcher,1,1,12.579.999.744,
High-grade Amulet Epsilon,21,22,12.548.519.415,
Vizan's Modified Large EMP Smartbomb,1,1,12.527.200.072,
Ikitursa All-Stars Casino Clash SKIN,1,1,12.500.000.256,
Kikimora,233,306,12.498.222.922,
Dominix Navy Issue,22,22,12.463.643.507,
Cormack's Modified Sensor Booster,2,2,12.450.000.000,
Gistum B-Type Multispectrum Shield Hardener,31,33,12.435.128.479,
Typhoon,41,44,12.431.409.246,
Radical Drone Damage Amplifier Mutaplasmid,17,21,12.427.584.659,
Thukker Large Cap Battery,223,334,12.321.724.968,
Standup L-Set Point Defense Battery Control I,3,3,12.289.500.017,
Lif,4,4,12.277.999.872,
Zeugma Integrated Analyzer,33,34,12.262.717.876,
Amarr Carrier,20,20,12.235.852.776,
Agency 'Pyrolancea' DB5 Dose II,650,2.569,12.068.631.574,
Oxygen Fuel Block,198,915.173,12.037.119.955,
Estamel's Modified 350mm Railgun,2,4,12.018.999.808,
Ansiblex Jump Gate Blueprint,1,1,12.000.000.000,
Pashan's Turret Customization Mindlink,1,1,11.920.000.205,
Centii A-Type Multispectrum Coating,80,94,11.909.269.310,
Proteus,70,76,11.786.754.909,
Retriever,227,273,11.745.151.328,
Orca Blueprint,12,12,11.739.188.258,
Corpum A-Type Medium Armor Repairer,35,38,11.696.797.034,
Mid-grade Virtue Omega,16,16,11.621.735.637,
Dread Guristas Multispectrum Shield Hardener,53,59,11.619.091.656,
Neurolink Enhancer Reservoir Blueprint,6,8,11.600.000.000,
High-grade Nirvana Delta,19,19,11.595.151.665,
Cataclysmic Electrical Filament,129,366,11.520.931.614,
Bane,1,1,11.500.000.256,
Cormack's Modified Power Diagnostic System,1,1,11.480.000.512,
Core X-Type Large Armor Repairer,24,25,11.441.737.075,
Legion,57,67,11.373.084.703,
Scorpion Navy Issue,21,22,11.368.345.322,
Vedmak,115,142,11.360.365.953,
Navy Cap Booster 3200,467,21.055,11.349.257.470,
Stormbringer EDENCOM Victory SKIN,1,1,11.344.999.680,
Federation Navy Drone Damage Amplifier,58,90,11.254.520.191,
Noctis,87,89,11.227.626.068,
Broadcast Node,124,7.523,11.226.835.306,
Sisters Expanded Probe Launcher,356,484,11.225.862.109,
Capital Turret Hardpoint Blueprint,6,7,11.213.281.876,
Cormack's Modified 500MN Microwarpdrive,1,1,11.180.000.256,
Tornado,123,172,11.146.881.583,
Vagabond,63,75,11.062.552.824,
Evaporite Deposits,186,8.178.544,11.025.126.763,
Arch Angel Depleted Uranium S,20,51.136,11.015.182.736,
Shadow Lead Charge S,13,33.079,10.996.091.170,
Gel-Matrix Biopaste,202,149.251,10.988.932.941,
Contaminated Lorentz Fluid,1.374,127.431,10.982.987.072,
Core X-Type 500MN Microwarpdrive,25,26,10.931.751.595,
Syndicate Gas Cloud Scoop,74,122,10.927.728.847,
Capital Ships,21,24,10.924.969.214,
Rokh,34,37,10.893.705.808,
Reinforced Carbon Fiber,190,1.980.704,10.892.269.159,
Memory Augmentation - Improved,117,148,10.805.011.000,
Expired Basic 'Radiance' Cerebral Accelerator,208,691,10.778.248.532,
Harvester Mining Drone,14,24,10.699.883.387,
Capital Cargo Bay Blueprint,11,12,10.690.313.355,
Caldari Carrier,21,22,10.680.235.596,
Oracle Blueprint,7,12,10.675.345.810,
Carbon-86 Epoxy Resin,47,210.99,10.659.889.675,
Federation Navy Magnetic Field Stabilizer,83,153,10.643.744.812,
Abaddon,31,32,10.574.112.402,
Pith X-Type Shield Boost Amplifier,79,89,10.571.796.427,
Expired Extended 'Radiance' Cerebral Accelerator,80,112,10.541.741.724,
Megathron Blueprint,7,7,10.494.929.526,
Pacifier,42,43,10.471.952.972,
Nergal,55,60,10.453.225.867,
Cybernetic Subprocessor - Improved,119,156,10.410.629.958,
Draclira's Modified Tachyon Beam Laser,1,1,10.398.888.844,
Drake Awakening YC125 SKIN,11,27,10.368.829.175,
Porpoise,84,88,10.357.150.786,
Light Entropic Disintegrator II,242,337,10.353.306.161,
Gist X-Type Large Shield Booster,30,31,10.342.822.529,
Gist C-Type X-Large Shield Booster,10,10,10.275.094.899,
Drake Navy Issue,64,81,10.249.548.525,
Mid-grade Crystal Omega,53,58,10.207.148.185,
Unit W-634's Modified Fighter Support Unit,1,1,10.197.500.160,
Capital Ship Maintenance Bay Blueprint,6,6,10.184.166.912,
Raysere's Modified Large EMP Smartbomb,2,2,10.183.000.064,
Sylramic Fibers,128,41.706.748,10.156.601.837,
Standup L-Set Energy Neutralizer Feedback Control I,3,3,10.130.000.256,
Mid-grade Asklepian Epsilon,33,36,10.115.166.642,
Falcon,46,52,10.111.847.093,
Capital Clone Vat Bay Blueprint,6,6,10.100.510.208,
Armageddon Navy Issue,15,15,10.097.289.326,
Marshal SARO 'Black Troop' SKIN,2,2,10.069.365.102,
Trigger Unit,380,12.448,10.063.849.006,
Armageddon,27,28,10.058.402.330,
Hydrogen Fuel Block,232,1.102.139,10.057.497.211,
Gallente Carrier,16,18,10.044.944.728,
Gnosis,214,268,10.042.781.086,
Bustard,65,66,10.007.978.710,
Hecate,138,170,10.002.535.073,
CONCORD Capital Armor Repairer,10,10,10.000.947.225,
Sansha Victory SKIN,1,1,10.000.000.000,
Vizan's Modified Mega Pulse Laser,1,1,10.000.000.000,
Sotiyo Upwell Quantum Core,1,1,10.000.000.000,
Golem Zydrine Burn SKIN,1,1,9.999.499.776,
Providence Crown and Swords SKIN,1,1,9.998.000.128,
Hakim's Modified Tracking Enhancer,1,1,9.991.000.064,
Apostle Lavacore Imperial SKIN,1,2,9.984.000.000,
Draugur,27,29,9.933.568.504,
Ocular Filter - Improved,115,154,9.857.674.550,
Neural Boost - Improved,105,145,9.832.593.695,
Mid-grade Nomad Omega,9,10,9.826.190.592,
Mid-grade Asklepian Omega,21,22,9.821.957.495,
Raitaru,16,16,9.805.860.996,
Kaikka's Modified Rapid Heavy Missile Launcher,3,3,9.725.399.808,
Vargur Zakura Shumyu SKIN,1,1,9.699.999.744,
Abaddon Blueprint,5,5,9.686.000.064,
ORE Expanded Cargohold,23,35,9.671.495.141,
Enhanced Neurolink Protection Cell Blueprint,3,3,9.666.666.666,
Apocalypse Navy Issue,19,19,9.640.083.471,
Draclira's Modified Power Diagnostic System,1,1,9.614.000.128,
Cadmium,116,2.842.728,9.599.776.839,
Alligator,26,27,9.586.948.950,
Chaotic Electrical Filament,200,621,9.580.548.319,
Covetor,177,233,9.556.053.227,
Disruptive Lance Operation,16,16,9.553.912.745,
Unit W-634's Modified Sensor Booster,1,1,9.528.839.946,
Stormbringer,40,50,9.522.034.247,
Megathron Navy Issue,19,20,9.519.217.431,
Avatar Crown and Swords SKIN,1,1,9.500.000.256,
Corpii A-Type Multispectrum Coating,50,60,9.499.459.697,
25000mm Steel Plates II,41,69,9.464.932.780,
Centus X-Type Large Armor Repairer,16,17,9.450.388.721,
Quafe Zero Classic,126,291,9.446.225.972,
Hakim's Modified Heavy Warp Disruptor,1,1,9.383.000.064,
Expired DSHR-01H Highsec Ice Storm Filament,2.182,18.564,9.367.540.871,
Dual Giga Pulse Laser II,25,51,9.332.049.677,
Hydrocarbons,196,11.636.596,9.307.910.346,
Orca Rosada Dawn SKIN,1,1,9.301.000.192,
Sisters Core Scanner Probe,2.108,41.16,9.280.189.479,
Men's Proper Dapper Outfit,2,2,9.278.963.027,
Raven Blueprint,7,7,9.274.500.160,
Nighthawk,31,35,9.251.770.778,
Metamorphosis,61,70,9.231.882.900,
Medium Core Defense Field Purger II,171,398,9.203.473.272,
Worm,91,109,9.170.881.129,
Fighter Support Unit II,42,74,9.142.010.330,
Elite Infomorph Psychology,16,16,9.101.628.886,
Minmatar Carrier,15,16,9.086.187.320,
Capital Armor Plates Blueprint,6,7,9.082.780.512,
Thulium,84,698.372,9.076.733.266,
Setele's Modified Tracking Computer,1,1,9.057.397.995,
Clone Soldier Negotiator Tag,112,314,9.039.423.170,
Apocalypse Blueprint,5,6,9.034.868.337,
Standup Supercapital Shipyard I Blueprint,1,1,8.999.999.488,
Guardian Emergency Response Squad SKIN,1,1,8.961.999.872,
Charon Blueprint,4,5,8.957.636.234,
Transcranial Microcontrollers,191,168.762,8.950.126.827,
Heavy Entropic Disintegrator II,162,208,8.935.539.508,
Orca Morphite Shine SKIN,1,1,8.917.999.616,
Sleipnir,31,40,8.904.835.928,
Zirnitra,1,1,8.900.000.000,
Ahremen's Modified Large EMP Smartbomb,1,1,8.899.999.744,
Cryoprotectant Solution,226,150.052,8.898.752.279,
Covert Ops Cloaking Device II,1.636,2.327,8.833.443.705,
Federation Navy Fleet Colonel Insignia I,140,3.954,8.820.886.021,
Excavator' Ice Harvesting Drone,15,29,8.820.361.753,
Porpoise Blueprint,10,11,8.798.614.882,
Republic Fleet Warp Disruptor,54,69,8.797.411.453,
Nyx Federal Police SKIN,1,1,8.774.666.693,
Tuvan's Modified Damage Control,1,1,8.761.632.636,
Inherent Implants 'Highwall' Mining MX-1005,69,103,8.744.312.379,
Huginn,40,45,8.733.561.655,
Coolant,152,993.519,8.726.255.922,
Republic Fleet Medium Shield Extender,439,988,8.719.095.515,
Gravimetric-FTL Interlink Communicator Blueprint,5,6,8.709.979.590,
Chaotic Exotic Filament,202,667,8.696.716.144,
Scorpion,31,37,8.670.614.111,
Draclira's Modified Large Armor Repairer,2,2,8.633.333.504,
Jackdaw,147,180,8.633.258.005,
Agency 'Pyrolancea' DB7 Dose III,271,649,8.608.974.541,
Muninn,38,42,8.585.244.832,
Mid-grade Virtue Epsilon,20,21,8.577.794.385,
Hexa 2500mm Repeating Cannon II,20,32,8.535.985.181,
Onyx,26,29,8.508.795.510,
Charon Vitalshift EGO SKIN,14,14,8.506.099.840,
Rokh Blueprint,4,5,8.484.612.244,
Inherent Implants 'Squire' Capacitor Management EM-806,11,12,8.469.343.781,
Gist B-Type X-Large Shield Booster,9,9,8.454.736.981,
Sabre,141,241,8.424.569.498,
Magpie' Mobile Tractor Unit,22,23,8.366.238.566,
Hakim's Modified Large Proton Smartbomb,2,2,8.353.333.504,
Agency 'Pyrolancea' DB9 Dose IV,175,338,8.346.387.070,
Tuvan's Modified Magnetic Field Stabilizer,1,2,8.315.209.552,
High-grade Asklepian Delta,18,18,8.302.275.421,
Inquest 'Hedone' Entanglement Optimizer WS-804,1,1,8.296.999.936,
Astrahus Upwell Quantum Core,11,13,8.294.758.518,
Devoter,26,28,8.272.401.082,
Hyperion,21,21,8.260.406.291,
Shadow Iron Charge S,56,204.669,8.254.320.247,
Drake,144,175,8.254.263.945,
High-grade Nirvana Beta,20,21,8.251.717.128,
Capital Capacitor Battery Blueprint,6,7,8.246.804.266,
Chelm's Modified Large Armor Repairer,2,2,8.237.332.992,
Damnation,21,22,8.229.838.955,
ORE Mining Director Mindlink,12,12,8.211.117.570,
Synthetic Synapses,215,167.686,8.210.447.817,
High-grade Nirvana Gamma,17,18,8.172.173.844,
Machariel Red Stargazer SKIN,4,4,8.165.843.664,
Multispectrum Shield Hardener II,3.083,7.059,8.129.096.061,
Expired Potent 'Radiance' Cerebral Accelerator,60,101,8.122.042.080,
Chelm's Modified Explosive Energized Membrane,1,1,8.110.000.128,
Caldari Navy Heavy Assault Missile Launcher,20,37,8.109.654.718,
Occator,62,65,8.102.735.652,
Unit F-435454's Modified Damage Control,1,1,8.102.500.096,
Gistum C-Type Multispectrum Shield Hardener,27,29,8.073.182.606,
Rapier,41,46,8.071.575.623,
Mid-grade Harvest Epsilon,8,8,8.058.980.474,
Apocalypse,28,29,8.058.927.811,
Crane,61,63,8.053.724.665,
Osprey Navy Issue,127,183,8.053.236.239,
Tempest Blueprint,6,7,8.029.850.451,
Titanium Carbide,110,61.843.067,8.022.088.347,
Capital Core Defense Field Extender II,11,17,8.018.629.161,
Social Adaptation Chip - Improved,84,105,8.009.698.395,
Mizuro's Modified Gyrostabilizer,2,2,8.008.000.000,
Kronos Inner Zone Vanguard SKIN,1,1,7.992.999.936,
Chelm's Modified Heavy Energy Neutralizer,2,2,7.990.124.928,
Zainou 'Deadeye' Rapid Launch RL-1005,57,68,7.979.653.516,
Taipan,3,3,7.974.583.040,
Succubus,55,69,7.948.671.767,
Viator,79,82,7.926.431.264,
Vigilant,24,25,7.920.889.691,
Imperial Navy General Insignia I,135,3.799,7.920.109.161,
Claymore,18,20,7.905.249.336,
Immolator,2,2,7.904.100.137,
Procurer,132,169,7.899.861.184,
Excavator' Mining Drone,22,53,7.864.135.332,
Unstable Capital Shield Booster Mutaplasmid,2,2,7.856.444.528,
Mid-grade Nirvana Epsilon,27,29,7.843.329.369,
Ark Crown and Swords SKIN,1,1,7.839.000.064,
Women's Kimotoro Eskeitan Commander's Jacket,1,1,7.832.666.795,
Mastodon,33,34,7.830.486.842,
Thon's Modified Multispectrum Shield Hardener,2,2,7.826.999.808,
